Unnamed: 0,Headline,Positive,Negative,Neutral,date,article_id
43,a simple gift ,0.0596949383616447,0.027120292186737,0.9131847023963928,01/01/2015,4
44,long out of place on an exclusive manhattan block a restaurant moves out,0.0318912789225578,0.5515804290771484,0.4165282547473907,01/01/2015,6
45,mark bittman hens unbound,0.0650927647948265,0.0357540175318717,0.8991532325744629,01/01/2015,18
46,social programs that work,0.0446850694715976,0.0253364890813827,0.9299784302711488,01/01/2015,17
47,nfl roundup,0.0380972661077976,0.0676463916897773,0.8942562937736511,01/01/2015,16
48,the imperfectionists,0.0469742864370346,0.4771234095096588,0.4759023487567901,01/01/2015,3
49,cuomo using pardon power gives pair a second chance,0.3873539865016937,0.0150109333917498,0.5976350903511047,01/01/2015,15
50,exit alarms in the subways are silenced by the mta,0.0243829693645238,0.4893594086170196,0.4862576127052307,01/01/2015,13
51,standouts in tech drones virtual reality instant translation and ai,0.1965376883745193,0.0095447348430752,0.7939175963401794,01/01/2015,5
52,stampede in shanghai china,0.0287600122392177,0.6561240553855896,0.3151159584522247,01/01/2015,40
53,improving flight safety,0.2122942060232162,0.0166691299527883,0.771036684513092,01/01/2015,12
54,keep the cuban embargo,0.0469079427421093,0.0966504141688346,0.8564416766166687,01/01/2015,11
55,defending dick and jane,0.0385833010077476,0.0603315308690071,0.9010851383209229,01/01/2015,10
56,online privacy who writes the rules,0.0188690423965454,0.0508520156145095,0.9302789568901062,01/01/2015,9
57,canada holds off us in preliminary junior championship match,0.1238309517502784,0.7158426642417908,0.1603264063596725,01/01/2015,8
58,Gail Collins First Pop Quiz of 2015,0.0609629936516284,0.0466508902609348,0.8923861384391785,01/01/2015,14
59,20150101 LOCATION,0.0243611615151166,0.0716868415474891,0.9039520621299744,01/01/2015,2
60,edward herrmann actor with a noble air dies at 71,0.0585776008665561,0.2283691763877868,0.7130532264709473,01/01/2015,7
61,mission ends but sacrifices are not over for us soldiers,0.0926532074809074,0.0478011518716812,0.8595457077026367,01/01/2015,34
62,euro and immigration promise challenges for merkel in 2015,0.7594662308692932,0.1156219169497489,0.1249118894338607,01/01/2015,30
63,the palestinians desperation move,0.1439063400030136,0.3661071062088012,0.4899865090847015,01/01/2015,29
64,ny knicks carmelo anthony phil jackson fresh start yields a familiar result,0.2428019046783447,0.0350912138819694,0.7221068739891052,01/01/2015,28
65,in foiling gmail china foils itself,0.0894681364297866,0.0210195742547512,0.889512300491333,01/01/2015,27
66,hourly minimum wage is going up for millions,0.3370893001556396,0.0312989130616188,0.6316117644309998,01/01/2015,26
67,massachusetts new effort to move bombings trial,0.2211650162935257,0.0348117463290691,0.7440232634544373,01/01/2015,32
68,ben ammi ben israel leader of black americans who migrated to israel dies at 75,0.0501494966447353,0.1291638761758804,0.8206866383552551,01/01/2015,33
69,florida state oregon rose bowl preview jameis winston marcus mariota,0.0555011071264743,0.0475455932319164,0.8969533443450928,01/01/2015,24
70,new cdc job overseeing laboratory safety ,0.0610191486775875,0.0411036126315593,0.8978772163391113,01/01/2015,31
71,depiction of lyndon b johnson in selma raises hackles,0.028702076524496,0.8701649904251099,0.1011329144239425,01/01/2015,37
72,anti putin protest fizzles as police sweep square,0.0256084688007831,0.8145719766616821,0.1598195433616638,01/01/2015,38
73,after airasia flight 8501 a need for tracking,0.2190566658973693,0.0242280084639787,0.7567153573036194,01/01/2015,22
74,winning lottery numbers for dec 31 2014,0.0248322710394859,0.0703649520874023,0.9048027396202089,01/01/2015,35
75,alabama vs ohio state sugar bowl preview nick saban urban meyer,0.0508644096553325,0.0355188362300396,0.9136167764663696,01/01/2015,23
76,in windsor terrace brooklyn one roof for two households,0.063947893679142,0.0164587385952472,0.9195933938026428,01/02/2015,6263
77,maine one coffee roaster at a time,0.038806028664112,0.0268348027020692,0.9343592524528505,01/02/2015,6207
78,20150201 LOVE,0.0314042195677757,0.0480331853032112,0.9205625653266908,01/02/2015,6392
79,super bowl 2015 at age xlix outsize event has no sense of place,0.0196782313287258,0.0623113587498664,0.9180103540420532,01/02/2015,6854
80,in berlin history squares off against hip,0.1658694148063659,0.01470064278692,0.8194299340248108,01/02/2015,6259
81,the fire on the 57 bus in oakland,0.0415273569524288,0.5967515707015991,0.3617210686206817,01/02/2015,6262
82,why you should tell your kids how much you make,0.0405301339924335,0.0675506591796875,0.8919191956520081,01/02/2015,6278
83,thousands march in spain to support left wing party,0.1944363117218017,0.261992871761322,0.5435708165168762,01/02/2015,6853
84,the iceman cometh stars nathan lane and brian dennehy,0.0559814274311065,0.0777993723750114,0.8662192225456238,01/02/2015,6273
85,fall out boy on the new album american beauty american psycho,0.1071266084909439,0.0661472678184509,0.8267261385917664,01/02/2015,6855
86,fresh off the boat is based on the eddie huang memoir,0.0634639337658882,0.0489929839968681,0.8875430822372437,01/02/2015,6354
87,for bjork a new album vulnicura and a moma show,0.1988576203584671,0.011246127076447,0.7898962497711182,01/02/2015,6550
88,modern love a flower delivery that brought more pain than pleasure,0.0898250564932823,0.0475000888109207,0.8626748323440552,01/02/2015,6399
89,you googled it we answered it,0.052103828638792,0.0236123241484165,0.9242838621139526,01/02/2015,6556
90,losing mobility and gaining a work life,0.0432312302291393,0.6186372637748718,0.3381314873695373,01/02/2015,6846
91,ukraine rebels legalize private mining,0.0225025881081819,0.531464695930481,0.4460326731204986,01/02/2015,6845
92,20150201 UKRAINE,0.0288725644350051,0.0428451523184776,0.9282822012901306,01/02/2015,6844
93,blue dot for obama prompts red nebraska to revisit electoral college rules,0.0471049472689628,0.5963653922080994,0.3565296232700348,01/02/2015,6848
94,an expressive propulsive voice,0.0994124114513397,0.0258297566324472,0.8747578859329224,01/02/2015,6843
95,white house seeks to limit health laws tax troubles,0.0844265669584274,0.064166784286499,0.8514066338539124,01/02/2015,6842
96,events in westchester for feb 1 7 2015,0.0180624555796384,0.0648155659437179,0.917121946811676,01/02/2015,6487
97,events in connecticut for feb 1 7 2015,0.0167275127023458,0.0681058540940284,0.915166676044464,01/02/2015,6472
98,events in new jersey for feb 1 7 2015,0.0165120251476764,0.0669874474406242,0.9165005087852478,01/02/2015,6458
99,as new york moves people with developmental disabilities to group homes some families struggle,0.1317296773195266,0.042326021939516,0.8259442448616028,01/02/2015,6453
100,a boy praises the principal of his brooklyn school and a fund raising campaign takes off,0.0463118888437747,0.6164154410362244,0.3372727036476135,01/02/2015,6447
101,the dam keeper delivers oscar nomination for studio alumni,0.318630188703537,0.1601870507001876,0.5211827754974365,01/02/2015,6435
102,social qs an eyeful next door,0.044108398258686,0.0234411302953958,0.9324504733085632,01/02/2015,6404
103,carl djerassi dies at 91 forever altered reproductive practices as a creator of the pill,0.0542633235454559,0.0859996527433395,0.8597370386123657,01/02/2015,6850
104,how to find the best deals on flights,0.0580968745052814,0.0187782365828752,0.92312490940094,01/02/2015,6555
105,italy elects president sergio mattarella while mulling a change in role,0.0586660727858543,0.1171631664037704,0.8241707682609558,01/02/2015,6852
106,events on long island for feb 1 7 2015,0.0174160823225975,0.0705374330282211,0.912046492099762,01/02/2015,6464
107,a chicago neighborhood follows a latin beat,0.0416576340794563,0.0368903949856758,0.9214520454406738,01/02/2015,5992
108,american sniper script looks for the human behind the hero,0.0367988906800746,0.0400183238089084,0.923182725906372,01/02/2015,6116
109,20150201IFIREss,0.0330083481967449,0.0317510925233364,0.9352405071258544,01/02/2015,6841
110,after many milestones karrie webb returns to where it all began,0.0700371339917182,0.04233880341053,0.8876240253448486,01/02/2015,6862
111,richard von weizsacker 94 germanys first president after reunification is dead,0.0837342441082,0.077359601855278,0.8389061093330383,01/02/2015,6863
112,01addario_ss,0.0508139804005622,0.0269491150975227,0.9222369194030762,01/02/2015,5842
113,20150201 KEHINDE,0.0648832023143768,0.0512241274118423,0.8838926553726196,01/02/2015,5832
114,20150201 IHH,0.0357441008090972,0.0279580596834421,0.9362978339195251,01/02/2015,5823
115,is being a writer a job or a calling,0.0416229665279388,0.1147692799568176,0.8436077833175659,01/02/2015,5753
116,a solution to student debt,0.1646398603916168,0.0166604220867156,0.8186997175216675,01/02/2015,30987
117,intense tutoring can close the math gap,0.0940871685743331,0.6647627949714661,0.2411500364542007,01/02/2015,6864
118,01brady_ss,0.0588106848299503,0.0378406383097171,0.9033486843109132,01/02/2015,5496
119,tom brady cannot stop,0.0264673084020614,0.2902285754680633,0.6833041310310364,01/02/2015,5516
120,20150201AUSTRALIANOPEN,0.0630302503705024,0.0200350172817707,0.9169347882270812,01/02/2015,7626
121,marriage of convenience,0.0373798832297325,0.0688386484980583,0.8937814235687256,01/02/2015,5742
122,roman architecture beyond the colosseum,0.0972027331590652,0.0258580148220062,0.8769392371177673,01/02/2015,5736
123,paris takes pains to reassure tourists,0.1390395015478134,0.0529036000370979,0.8080568909645081,01/02/2015,5735
124,its safe to look back,0.0530150532722473,0.0551360957324504,0.8918488621711731,01/02/2015,6861
125,20150201 WYG,0.0340900607407093,0.0603719018399715,0.905538022518158,01/02/2015,5844
126,20150201 LIVING,0.0295423492789268,0.0466564670205116,0.9238011837005616,01/02/2015,5867
127,back in town with tricky tunes,0.0856900140643119,0.0418718047440052,0.8724381327629089,01/02/2015,6860
128,young talent taking new steps,0.0899137705564498,0.0243301652371883,0.8857560753822327,01/02/2015,6857
129,ballet 422 a dance documentary by jody lee lipes,0.0532323084771633,0.0356120020151138,0.9111557006835938,01/02/2015,6084
130,martin starr plays a love struck veteran in amira sam,0.0937675610184669,0.0700579285621643,0.836174488067627,01/02/2015,6057
131,larry davids fish in the dark comes to broadway,0.0545652881264686,0.0501188486814498,0.8953158259391785,01/02/2015,6039
132,belfast northern ireland,0.0247842669486999,0.1886040866374969,0.7866116166114807,01/02/2015,6022
133,chicken shawarma deluxe no rotisserie required,0.049566563218832,0.0266027897596359,0.9238306879997252,01/02/2015,6005
134,kelly link by the book,0.0283511150628328,0.0400037169456481,0.9316452145576476,01/02/2015,5995
135,the strip brian mcfadden comics,0.0252337101846933,0.0836398899555206,0.8911264538764954,01/02/2015,6856
136,folk works known as fraktur,0.0513786375522613,0.0488712675869464,0.8997501134872437,01/02/2015,6858
137,what can a pregnant photojournalist cover everything,0.0260809380561113,0.0421749725937843,0.9317441582679749,01/02/2015,5983
138,corona queens affordable with latin flavor,0.2233149260282516,0.0123974503949284,0.7642875909805298,01/02/2015,5982
139,kehinde wiley puts a classical spin on his contemporary subjects,0.1285419911146164,0.0353671498596668,0.8360908031463623,01/02/2015,5977
140,yasmina rezas happy are the happy,0.0754457712173461,0.0368887297809124,0.8876655101776123,01/02/2015,5976
141,gateway to freedom by eric foner,0.0911682173609733,0.0267890971153974,0.8820427060127258,01/02/2015,5975
142,promethean fire smoldering still,0.0435684472322464,0.0643383041024208,0.8920932412147522,01/02/2015,6859
143,xs and os a football love story examines a sports damage,0.0521542206406593,0.0267842356115579,0.9210614562034608,01/02/2015,5876
144,inside the list,0.0330523401498794,0.0651311352849006,0.9018165469169616,01/02/2015,4965
145,vehicles with faulty airbags are recalled for second time,0.0083562526851892,0.9639641642570496,0.0276795774698257,01/02/2015,6840
146,20150201 OTMNYC,0.0300711635500192,0.0459901131689548,0.9239387512207032,01/02/2015,6641
147,on slaverys doorstep in ghana,0.1540589928627014,0.1627555042505264,0.6831855177879333,01/02/2015,6557
148,larry clark explores the subject of misspent youths,0.0444600246846675,0.0882274284958839,0.8673125505447388,01/02/2015,6722
149,01books_pod,0.0511414408683776,0.0674221813678741,0.8814364075660706,01/02/2015,6717
150,20150201COUTURESTREET,0.0309846028685569,0.0365080907940864,0.9325072765350342,01/02/2015,6716
151,sundance courts a new celebrity crowd,0.2455535382032394,0.0154341636225581,0.7390122413635254,01/02/2015,6715
152,how to get through cold and flu season without making enemies,0.0384048521518707,0.0540693812072277,0.9075257182121276,01/02/2015,6714
153,siblings all grown up but still single,0.0591778494417667,0.0382678471505641,0.9025543332099916,01/02/2015,6710
154,bill cunningham snow day,0.0995428711175918,0.1034714505076408,0.7969857454299927,01/02/2015,6709
155,in the east village at ichibantei late night japanese food,0.0395166687667369,0.0521803386509418,0.9083030223846436,01/02/2015,6707
156,the myth of the harmless wrong,0.0486133247613906,0.0779873803257942,0.8733993172645569,01/02/2015,6706
157,29 million at the eldorado on central park west,0.1016328632831573,0.0213795863091945,0.8769875764846802,01/02/2015,6699
158,20150201 EXCLUSIVE,0.0306411609053611,0.0424265339970588,0.9269323348999025,01/02/2015,6697
159,at your service information sleuth at the new york public library,0.0239094905555248,0.0556494109332561,0.9204411506652832,01/02/2015,6696
160,a tom brady sneak is the patriots unstoppable play,0.2593403160572052,0.0259809549897909,0.7146787047386169,01/02/2015,6694
161,their picture finally comes into focus,0.0935361981391906,0.0211301650851964,0.8853336572647095,01/02/2015,6693
162,01 Real Estate Matrix Graphic,0.0350261069834232,0.0262722056359052,0.9387016892433168,01/02/2015,6692
163,jeb bush chris christie seek romney donor backing,0.0788552910089492,0.0238123293966054,0.8973324298858643,01/02/2015,6834
164,security cameras restrictions on renting condos,0.0193699859082698,0.2454555630683899,0.7351744174957275,01/02/2015,6833
165,the case of the disappearing diamond ring,0.047563400119543,0.1673042327165603,0.7851322889328003,01/02/2015,6832
166,workspace a focus on fitness and a passion for the packers,0.0936469510197639,0.0147626511752605,0.8915903568267822,01/02/2015,6831
167,couture tries to find its place in the real world,0.1226887330412864,0.0186954159289598,0.8586158156394958,01/02/2015,6732
168,20150201LIDINE,0.0361001975834369,0.0375279039144516,0.926371932029724,01/02/2015,6760
169,20150201 COUTUREDETAIL,0.0367335081100463,0.0302077438682317,0.9330587983131408,01/02/2015,6731
170,on the east end of long island embracing local wheat,0.2240445464849472,0.0183659605681896,0.7575894594192505,01/02/2015,6761
171,a review of sweetgrass in hopewell,0.070266418159008,0.0352385640144348,0.8944950103759766,01/02/2015,6763
172,a review of sizwe banzi is dead in princeton,0.0233755316585302,0.2547729313373565,0.7218514680862427,01/02/2015,6781
173,20150201JOINT,0.0344320088624954,0.0397646874189376,0.925803244113922,01/02/2015,6788
174,the surprising power of blue state republicans,0.6441501975059509,0.0218908824026584,0.3339589536190033,01/02/2015,6685
175,a review of jennifers restaurant in yorktown heights ny,0.0414400100708007,0.0316542200744152,0.9269056916236876,01/02/2015,6796
176,stig bergling a cold war spy known for his escape dies at 77,0.060432318598032,0.387731522321701,0.5518361330032349,01/02/2015,6821
177,love the other letdown,0.0511138327419757,0.0299928709864616,0.9188932776451112,01/02/2015,6822
178,serena williams beats maria sharapova in australian open final,0.0898350030183792,0.0559717752039432,0.8541932106018066,01/02/2015,6826
179,super bowls are getting more interesting,0.0869960933923721,0.0254472326487302,0.8875566720962524,01/02/2015,6827
180,shots fired during protest against charlie hebdo in kabul,0.0248160809278488,0.8525581955909729,0.1226257607340812,01/02/2015,6828
181,corner office andrew filev of wrike check your ego at the door,0.0520800314843654,0.1401491612195968,0.807770848274231,01/02/2015,6829
182,01gret,0.0408053137362003,0.0327898003160953,0.92640483379364,01/02/2015,6830
183,wadsworth atheneums new spaces for contemporary art,0.1011653915047645,0.0259812958538532,0.8728533983230591,01/02/2015,6804
184,a review of vanya and sonia and masha and spike in northport,0.0465860515832901,0.0194269083440303,0.933987021446228,01/02/2015,6684
185,homes for sale on the upper east side brooklyn heights and carnegie hill,0.0517896451056003,0.0185470599681139,0.929663360118866,01/02/2015,6682
186,homes for sale in weehawken new jersey and dobbs ferry new york,0.0381371714174747,0.0260542724281549,0.9358085989952089,01/02/2015,6681
187,a theory of the drone by gregoire chamayou,0.0421128645539283,0.0378323569893837,0.9200547933578492,01/02/2015,6624
188,jenny uglows in these times,0.0833472833037376,0.1236452311277389,0.793007493019104,01/02/2015,6623
189,hall of small mammals bythomas pierce,0.0331326648592948,0.0433626547455787,0.9235047101974488,01/02/2015,6622
190,33 million penthouse on central park west,0.0839535519480705,0.0143494652584195,0.9016969799995422,01/02/2015,6613
191,mortgage shopping and credit scores,0.0274606607854366,0.0442412830889225,0.9282980561256408,01/02/2015,6604
192,the economic benefits of paid parental leave,0.2474635243415832,0.0167828984558582,0.7357535362243652,01/02/2015,6584
193,dive nights,0.0286052953451871,0.0519851557910442,0.9194095134735109,01/02/2015,6582
194,tom coopers the marauders and more,0.0305485036224126,0.0783827230334281,0.8910688161849976,01/02/2015,6625
195,david duchovny i like fooling around with words,0.0507728904485702,0.0350991375744342,0.9141280055046082,01/02/2015,6581
196,black mirror and the horrors and delights of technology,0.0269024074077606,0.0837465077638626,0.8893510103225708,01/02/2015,6579
197,reply all the 1 18 15 issue,0.0428612828254699,0.0234156120568513,0.9337231516838074,01/02/2015,6578
198,on disc richard linklaters boyhood and guy maddins my winnipeg,0.0626504868268966,0.0370712131261825,0.9002783298492432,01/02/2015,6571
199,jupiter ascending a closer look,0.1564478874206543,0.0265179220587015,0.8170342445373535,01/02/2015,6570
200,climate changes bottom line,0.0282501354813575,0.1197763159871101,0.8519735336303711,01/02/2015,6835
201,friends who choose to live in the same building,0.0230454262346029,0.0440352596342563,0.9329193234443665,01/02/2015,6565
202,at home with the director of the museum of the fashion institute of technology,0.1103775054216384,0.0292224679142236,0.8604000806808472,01/02/2015,6564
203,his qualifications and mine,0.036085020750761,0.0259028859436512,0.9380120635032654,01/02/2015,6580
204,frank bruni disneyland measles and madness,0.0358827896416187,0.3379861414432525,0.6261311173439026,01/02/2015,6837
205,only one thing can save us by thomas geoghegan,0.0432444550096988,0.0462269820272922,0.910528600215912,01/02/2015,6626
206,the girl on the train by paula hawkins,0.0329470001161098,0.0554280579090118,0.9116249680519104,01/02/2015,6628
207,for manoush zomorodi time for some conscious unplugging,0.060423370450735,0.0579312890768051,0.8816453814506531,01/02/2015,6676
208,a parkside view of winter white from the stone rose lounge,0.280867338180542,0.0684856101870536,0.6506471037864685,01/02/2015,6665
209,an app happy offers discounts for drinkers,0.1115886345505714,0.0144406901672482,0.873970627784729,01/02/2015,6650
210,programs and promises havent banished poverty in a bronx neighborhood,0.0662025660276413,0.3167922496795654,0.6170051693916321,01/02/2015,6646
211,spreading the gospel of food preservation across the us,0.1733319908380508,0.0121083920821547,0.8145596385002136,01/02/2015,6644
212,louisiana squeezed as oil prices drop,0.0994172170758247,0.8659806251525879,0.034602154046297,01/02/2015,6865
213,20150201 OTMREG,0.0337355509400367,0.0300750955939292,0.9361894130706788,01/02/2015,6640
214,letters among the disrupted,0.0894359499216079,0.0697882920503616,0.840775728225708,01/02/2015,6627
215,katherine heinys single carefree mellow and more,0.0947678685188293,0.0700531229376792,0.8351789712905884,01/02/2015,6639
216,editors choice,0.0279616247862577,0.0340792350471019,0.9379591941833496,01/02/2015,6636
217,ideas of order by neil l rudenstine,0.0556954517960548,0.0462060570716857,0.8980984687805176,01/02/2015,6635
218,reading in transit,0.1014095842838287,0.0834233909845352,0.8151670098304749,01/02/2015,6634
219,david adams the man who couldnt stop,0.0456252433359622,0.0834692195057869,0.8709055185317993,01/02/2015,6633
220,scott blackwoods see how small,0.0963456258177757,0.0543521866202354,0.8493022322654724,01/02/2015,6632
221,the girl from human street by roger cohen,0.0407898165285587,0.0646330788731575,0.894577145576477,01/02/2015,6630
222,they eat horses dont they by piu marie eatwell,0.0323538966476917,0.044297732412815,0.9233483672142028,01/02/2015,6629
223,paperback row,0.0371587611734867,0.0375780016183853,0.925263285636902,01/02/2015,6637
224,20150201 KARABAKH,0.0529559440910816,0.0368376895785331,0.9102064371109008,01/02/2015,6866
225,the sacrifice by joyce carol oates,0.0852708891034126,0.0616708733141422,0.8530582189559937,01/02/2015,6631
226,sisi blames muslim brotherhood for bombings in sinai,0.0176219902932643,0.8898990154266357,0.0924790054559707,01/02/2015,6912
227,ross douthat our loud proud left,0.0771109387278556,0.0415866896510124,0.8813023567199707,01/02/2015,6873
228,nicholas kristof heroes and bystanders,0.0330938138067722,0.101114347577095,0.8657918572425842,01/02/2015,6872
229,michel nischan,0.050446830689907,0.0370285138487815,0.91252464056015,01/02/2015,6871
230,london theater journal laughing wall to wall,0.0443256981670856,0.0603651851415634,0.8953091502189636,01/02/2015,6949
231,new york city to pay dollar5 million in mafia cops case,0.2262665778398513,0.0577039532363414,0.7160294651985168,01/02/2015,6896
232,the disappearance of alan simpson,0.0275871567428112,0.6098091006278992,0.3626037836074829,01/02/2015,6948
233,in super bowl xlix keeping alert for trick plays,0.0530243888497352,0.0714432522654533,0.8755322694778442,01/02/2015,6890
234,20150202KOBANI hp,0.0411933735013008,0.0387242101132869,0.9200824499130248,01/02/2015,6961
235,a month of puzzle love,0.0684767663478851,0.1051547825336456,0.8263684511184692,01/02/2015,6946
236,kel nagle 1960 british open winner dies at 94,0.031783103942871,0.3629946708679199,0.6052221655845642,01/02/2015,6895
237,clashes intensify between armenia and azerbaijan over disputed land,0.0302696879953145,0.9010255336761476,0.068704754114151,01/02/2015,6869
238,the only baby book youll ever need,0.0335129499435424,0.0566844381392002,0.9098026752471924,01/02/2015,6868
239,home schooling and teaching a child with down syndrome,0.0593336559832096,0.1345954835414886,0.806070864200592,01/02/2015,6944
240,learning the language in wales,0.0801944583654403,0.0259246286004781,0.8938808441162109,01/02/2015,6941
241,1940 mabel boll queen of diamonds weds no 3,0.078966200351715,0.0301158186048269,0.8909180164337158,01/02/2015,6939
242,australian open intent on leading the world in pampering players,0.6422826051712036,0.0135376490652561,0.3441796898841858,01/02/2015,6867
243,sins of a father resuscitates a 1991 film starring alan bates,0.1453631073236465,0.1979313790798187,0.6567054986953735,01/02/2015,6937
244,amanda mason and richard moseley,0.031621616333723,0.0434079691767692,0.9249704480171204,01/02/2015,6936
245,corrections february 1 2015,0.0248358454555273,0.0563619174063205,0.9188022017478944,01/02/2015,6935
246,whats on tv sunday,0.0302595943212509,0.0500036776065826,0.9197367429733276,01/02/2015,6934
247,an overnight stay at hotel 22,0.0714442357420921,0.0258647371083498,0.9026910066604614,01/02/2015,6945
248,top sundance prizes go to me and earl and the dying girl,0.0767402201890945,0.019202321767807,0.9040574431419371,01/02/2015,6933
249,labor rights for home care aides are delayed yet again,0.01442177221179,0.901469111442566,0.0841091200709343,01/02/2015,6874
250,1965 dr king 300 negroes arrested in selma,0.0234694927930831,0.7881196141242981,0.1884108632802963,01/02/2015,6952
251,islamic state militants japanese hostage,0.0249114949256181,0.7077578902244568,0.2673305869102478,01/02/2015,6888
252,the death of the dinosaurs,0.0632215365767479,0.2444944828748703,0.6922839879989624,01/02/2015,6887
253,an imposing team symbol finds a niche in the hoopla,0.289444088935852,0.0194094311445951,0.6911464929580688,01/02/2015,6911
254,lights out in nigeria,0.1002894341945648,0.1796093881130218,0.7201011180877686,01/02/2015,6886
255,belichick and carroll the sons contribute to patriots and seahawks,0.0730228126049041,0.0131141189485788,0.9138631224632264,01/02/2015,6885
256,why judges tilt to the right,0.0603229813277721,0.0444189421832561,0.8952581286430359,01/02/2015,6891
257,ukraine fighting continues as talks stall,0.0753491446375846,0.4674446284770965,0.4572061896324157,01/02/2015,6882
258,onward christian health care,0.0507053658366203,0.0186554845422506,0.930639147758484,01/02/2015,6892
259,lisa batiashvili on violins ukraine and valery gergiev,0.0331912487745285,0.0350867062807083,0.931722104549408,01/02/2015,6881
260,questions in the church,0.0726862028241157,0.1111600920557975,0.8161537051200867,01/02/2015,6875
261,bobbi kristina brown daughter of whitney houston found unresponsive in tub,0.0941217914223671,0.5942023992538452,0.3116758167743683,01/02/2015,6880
