,Headline,Positive,Negative,Neutral,date,article_id
20,robert dear planned parenthood shooting,0.03561549261212349,0.04459923878312111,0.9197852611541748,02/12/2015,72474
21,mother televisions favorite role,0.054861363023519516,0.03960442915558815,0.9055342078208923,02/12/2015,72523
22,chartreuse,0.03863265737891197,0.026461653411388397,0.9349057078361511,02/12/2015,72471
23,vaucluse,0.031237589195370674,0.06216886639595032,0.9065935015678406,02/12/2015,72443
24,vaucluse review,0.03274071589112282,0.05532378703355789,0.9119354486465454,02/12/2015,72444
25,germany migrants refugees pegida,0.05711131915450096,0.038920849561691284,0.9039677977561951,02/12/2015,72445
26,chicago police rahm emanuel laquan mcdonald,0.0326017327606678,0.3864499628543854,0.5809483528137207,02/12/2015,72446
27,jerry seinfeld gets a regular gig at the beacon theater,0.12514761090278625,0.025234170258045197,0.849618136882782,02/12/2015,72448
28,rye whiskey,0.04998570308089256,0.04183921590447426,0.9081751108169556,02/12/2015,72449
29,david letterman even retired keeps on interviewing,0.06273280084133148,0.18262803554534912,0.7546391487121582,02/12/2015,72451
30,coaching carousel spins ever faster as colleges chase wins,0.05353647843003273,0.06557765603065491,0.8808858394622803,02/12/2015,72453
31,airbnb releases trove of new york city home sharing data,0.03788093850016594,0.05135512724518776,0.9107639789581299,02/12/2015,72454
32,young palestinian women adopt unfamiliar role in seeking to become killers,0.04668182507157326,0.05253329500555992,0.9007849097251892,02/12/2015,72455
33,supreme court says woman injured in austria cant sue in us,0.03048974834382534,0.7609686851501465,0.20854155719280243,02/12/2015,72441
34,scholars unveil new edition of hitlers mein kampf,0.06882984191179276,0.021700479090213776,0.9094696640968323,02/12/2015,72527
35,us increases special operations forces fighting isis in iraq,0.093845896422863,0.2643831670284271,0.6417708992958069,02/12/2015,72460
36,development redefines character of washingtons shaw area,0.2864990234375,0.007188219577074051,0.7063127160072327,02/12/2015,72525
37,student activism and free speech at amherst,0.10506583005189896,0.02554868534207344,0.8693854212760925,02/12/2015,72461
38,nba says warriors wins are steve kerrs luke walton is 0 0,0.09037163853645325,0.036492835730314255,0.8731355667114258,02/12/2015,72463
39,review the fiery angel devilishly tough prokofiev,0.08395083248615265,0.10718192160129547,0.8088672757148743,02/12/2015,72524
40,wary of donald trump gop leaders are caught in a standoff,0.014494865201413631,0.9190329909324646,0.06647206842899323,02/12/2015,72464
41,while us car sales jump vws plunge,0.25146666169166565,0.6444386839866638,0.10409464687108994,02/12/2015,72465
42,employees arrested in scheme to defraud human resources administration,0.017407771199941635,0.915290355682373,0.06730175763368607,02/12/2015,72466
43,challah recipe history,0.03676183894276619,0.04655652865767479,0.9166816473007202,02/12/2015,72467
44,nhl this week rangers and isles meet in brooklyn,0.027157001197338104,0.036341842263936996,0.936501145362854,02/12/2015,72468
45,jimmer fredette steps back but scores 37 in d league debut,0.16542498767375946,0.37136146426200867,0.46321359276771545,02/12/2015,72457
46,puerto rico government debt bond payment,0.038788147270679474,0.029572052881121635,0.9316398501396179,02/12/2015,72450
47,replacing a green card and a home,0.04427662119269371,0.058337755501270294,0.8973855972290039,02/12/2015,72568
48,red sox said to sign david price for record dollar217 million,0.12181860208511353,0.014878375455737114,0.863303005695343,02/12/2015,72537
49,morrissey wins bad sex in fiction award,0.2348731905221939,0.068678118288517,0.6964487433433533,02/12/2015,72709
50,glam rock fashion,0.04094870761036873,0.04680832475423813,0.9122430086135864,02/12/2015,72957
51,broadways les misrables will close next september,0.019034873694181442,0.10929286479949951,0.8716722726821899,02/12/2015,72708
52,barcelona bag company profile,0.038907457143068314,0.02390911802649498,0.9371834397315979,02/12/2015,72704
53,in the studio with m2malletier,0.04346900433301926,0.042826566845178604,0.9137044548988342,02/12/2015,72701
54,what you get for 1250000,0.02681623212993145,0.027007196098566055,0.9461766481399536,02/12/2015,72698
55,analyzing the elements of art five ways to think about line,0.044529989361763,0.0301318671554327,0.925338089466095,02/12/2015,72685
56,amy schumer aaron sorkin alejandro gonzalez inarritu,0.036715082824230194,0.08037275075912476,0.8829120993614197,02/12/2015,72684
57,donald trump says terrorists families should be targets,0.11073199659585953,0.05215981975197792,0.8371082544326782,02/12/2015,72683
58,chanel karl lagerfeld fashion show rome,0.04639371484518051,0.03933224081993103,0.9142740368843079,02/12/2015,72678
59,what to do in 36 hours in oakland california,0.023614132776856422,0.07114392518997192,0.9052419066429138,02/12/2015,72969
60,chanels metiers darts show at cinecitta,0.04930776730179787,0.03860519081354141,0.912087082862854,02/12/2015,72677
61,san bernardino shootings question,0.022027742117643356,0.6922633647918701,0.28570881485939026,02/12/2015,72804
62,grindr polls users on h i v prevention pill,0.10119333118200302,0.011127367615699768,0.8876792788505554,02/12/2015,72673
63,chris brown cancel australia visa,0.04537661373615265,0.3069469630718231,0.647676408290863,02/12/2015,72711
64,frankenthaler foundation grant for visual arts at yaddo,0.5986129641532898,0.013295765966176987,0.3880912661552429,02/12/2015,72672
65,1965 ten years for alabama slayer,0.05780509486794472,0.03905431926250458,0.9031405448913574,02/12/2015,72665
66,multiplier evidence and multiplier denial,0.043626926839351654,0.04911455139517784,0.9072584509849548,02/12/2015,72664
67,daily report the zuckerbergs giveth away their facebook fortune,0.023031044751405716,0.43001922965049744,0.5469497442245483,02/12/2015,72660
68,real estate in prague the czech republic,0.034793101251125336,0.024730896577239037,0.9404760599136353,02/12/2015,72656
69,a five bedroom country house outside prague,0.06415338069200516,0.04334031790494919,0.8925063014030457,02/12/2015,72655
70,1940 u boats trap british convoy,0.04684244841337204,0.5541256070137024,0.39903193712234497,02/12/2015,72653
71,metropolitan diary a dogs west side prey,0.034102413803339005,0.04225430265069008,0.9236432909965515,02/12/2015,72652
72,video report cited as evidence of trumps claim of mass 911 celebrations is debunked,0.026884304359555244,0.4912707507610321,0.4818449914455414,02/12/2015,72650
73,g o p candidates feeling rush to raise funds turn to unlikely source,0.026339801028370857,0.7942540645599365,0.1794060915708542,02/12/2015,72648
74,highway bill offers a seasonal display of congressional unity,0.12218664586544037,0.01750177890062332,0.8603115677833557,02/12/2015,72638
75,amaranto,0.09835533052682877,0.06439582258462906,0.8372488617897034,02/12/2015,71787
76,with evangelical support slipping ben carson prepares a pastor rollout,0.08972997218370438,0.027429312467575073,0.8828407526016235,02/12/2015,72637
77,donald trump and hillary clinton endure as ben carson recedes poll says,0.16809535026550293,0.17779844999313354,0.6541061997413635,02/12/2015,72636
78,new york today a sidewalk forest,0.062113672494888306,0.041116803884506226,0.8967695236206055,02/12/2015,72635
79,the wrap up,0.03862224146723747,0.028485838323831558,0.9328919053077698,02/12/2015,72666
80,your wednesday briefing,0.03937169536948204,0.06695157289505005,0.8936768174171448,02/12/2015,72634
81,the best gifts for classroom teachers,0.09462055563926697,0.021259212866425514,0.8841202259063721,02/12/2015,72712
82,jessica jones episode 9 locked room mystery,0.026454390957951546,0.24673941731452942,0.7268061637878418,02/12/2015,72719
83,20151202 lens jet,0.039895784109830856,0.0230869073420763,0.9370173215866089,02/12/2015,72802
84,your evening briefing,0.06872730702161789,0.02659117802977562,0.9046815633773804,02/12/2015,72790
85,your wednesday evening briefing san bernardino syria donald trump,0.033088963478803635,0.02633904293179512,0.9405720233917236,02/12/2015,72787
86,string substitute,0.0287044458091259,0.06433463841676712,0.9069608449935913,02/12/2015,72838
87,brooke shields calvin klein jeans ad eighties,0.05783301591873169,0.027292193844914436,0.914874792098999,02/12/2015,72786
88,donald trump says he will visit israel very soon,0.20942358672618866,0.011529503390192986,0.779046893119812,02/12/2015,72843
89,Winter Wardrobe Staples Accessories Comfort Style,0.05498389154672623,0.02900194562971592,0.9160141944885254,02/12/2015,72783
90,senate republicans up for re election are urged to keep distance from donald trump,0.06046072766184807,0.19461673498153687,0.7449225187301636,02/12/2015,72849
91,design miami highlights,0.032622817903757095,0.026991073042154312,0.9403861165046692,02/12/2015,72782
92,miami art week alex bag van redux video,0.04629860445857048,0.030561357736587524,0.9231400489807129,02/12/2015,72779
93,dec 2 2015 pictures of the day,0.041295137256383896,0.05004756152629852,0.9086573123931885,02/12/2015,72776
94,pictures of the day nicaragua and elsewhere,0.03307589516043663,0.03461597114801407,0.9323080778121948,02/12/2015,72775
95,trump memo,0.08289358019828796,0.05879402905702591,0.8583123683929443,02/12/2015,72851
96,fanfare over paris climate talks shift to back rooms and brackets,0.09973365068435669,0.030931932851672173,0.8693344593048096,02/12/2015,72774
97,karl lagerfelds metiers dart collection salutes paris,0.07007598876953125,0.029921576380729675,0.9000024795532227,02/12/2015,72715
98,hillary clinton calls for u s inquiry into laquan mcdonald shooting,0.06093777343630791,0.35108792781829834,0.5879743099212646,02/12/2015,72852
99,montenegro nato,0.040680062025785446,0.03144282102584839,0.9278771877288818,02/12/2015,72762
100,james merrys custom stitched capsule collection,0.038412753492593765,0.03215664252638817,0.9294306635856628,02/12/2015,72757
101,tubingen germany budget travel,0.03302121162414551,0.031963299959897995,0.9350154399871826,02/12/2015,72756
102,aziz ansari master of none 10 locations,0.056790031492710114,0.029480716213583946,0.913729190826416,02/12/2015,72754
103,Faux Fur With All the Luxury of the Real Thing,0.05113501474261284,0.025966143235564232,0.9228988885879517,02/12/2015,72748
104,danh vo and bert kreuk settle legal dispute over artwork,0.029245860874652863,0.8111647367477417,0.1595894694328308,02/12/2015,72743
105,presidential candidates react to san bernardino shooting,0.08007834106683731,0.02705955319106579,0.89286208152771,02/12/2015,72741
106,california mass shooting san bernardino,0.031816575676202774,0.1153673604130745,0.852816104888916,02/12/2015,72739
107,best books of 2015,0.08459357172250748,0.05537765473127365,0.8600288033485413,02/12/2015,72882
108,podcast covering trump,0.023952176794409752,0.04004991054534912,0.9359979033470154,02/12/2015,72738
109,2 insider trump podcast,0.07878775149583817,0.043860312551259995,0.8773518800735474,02/12/2015,72735
110,preguntas respuestas cambio climatico cumbre paris,0.06721893697977066,0.02117328532040119,0.9116077423095703,02/12/2015,72730
111,whistle blower group found itself target of labor complaint,0.020034071058034897,0.923332929611206,0.05663304030895233,02/12/2015,72536
112,donald trump plays nice,0.037546515464782715,0.038526859134435654,0.9239266514778137,02/12/2015,72729
113,artist james merry opening ceremony nike,0.05973517522215843,0.03369307145476341,0.9065717458724976,02/12/2015,72771
114,latest news mark zuckerberg uk parliament yahoo,0.029079236090183258,0.07192287594079971,0.8989979028701782,02/12/2015,72633
115,baking season,0.0313187837600708,0.049838609993457794,0.9188425540924072,02/12/2015,72676
116,the close ties between exercise and beer,0.34672728180885315,0.010539536364376545,0.6427332162857056,02/12/2015,72631
117,a strained relationship eases between kobe bryant and philadelphia,0.5048791170120239,0.4479596018791199,0.04716125503182411,02/12/2015,72569
118,dave roberts dodgers new manager reflects on teams ties to breaking barriers,0.041285671293735504,0.026908384636044502,0.9318059086799622,02/12/2015,72570
119,bipartisan talks yield dollar300 billion highway bill,0.24155326187610626,0.017021343111991882,0.7414253950119019,02/12/2015,72571
120,maurice strong environmental champion dies at 86,0.0635150820016861,0.12888376414775848,0.8076011538505554,02/12/2015,72572
121,bronx man stabs wife and flees with their daughter police say,0.021349463611841202,0.8408268094062805,0.1378237009048462,02/12/2015,72573
122,The Marshall Islands Are Disappearing,0.041530791670084,0.10992729663848877,0.8485419154167175,02/12/2015,72575
123,looking for a hero,0.06295673549175262,0.0367368645966053,0.9003063440322876,02/12/2015,72632
124,receding waters in california expose artifacts to plunder,0.03425845503807068,0.8336960673332214,0.1320454478263855,02/12/2015,72567
125,us plans to counter arms breach by russia,0.2499276101589203,0.10820666700601578,0.6418656706809998,02/12/2015,72577
126,judge gives push to deadlocked jury in massey mine explosion trial,0.1345549374818802,0.48104992508888245,0.38439512252807617,02/12/2015,72579
127,luc bondy swiss born theater and opera director dies at 67,0.031774625182151794,0.19261187314987183,0.77561354637146,02/12/2015,72580
128,review jane martins h2o explores the interdependence of the sacred and the profane,0.07355406880378723,0.026761526241898537,0.8996844291687012,02/12/2015,72581
129,american convicted in peru plot plans to return to us,0.059152018278837204,0.31939879059791565,0.6214492321014404,02/12/2015,72583
130,yemen red cross worker is held by kidnappers,0.03507789596915245,0.7270144820213318,0.23790758848190308,02/12/2015,72584
131,cuomotempers hopes for tougher ethics laws,0.30872809886932373,0.03801487386226654,0.6532570123672485,02/12/2015,72585
132,on tape at skeloses trial son talks of senators pull,0.03775819018483162,0.5444675087928772,0.4177743196487427,02/12/2015,72586
133,the chicago police scandal,0.024835463613271713,0.10672099888324738,0.8684435486793518,02/12/2015,72578
134,isis promise of statehood falling far short ex residents say,0.27932581305503845,0.3319022059440613,0.3887719511985779,02/12/2015,72566
135,westchester district attorney nominated for chief judge,0.051519013941287994,0.1329651176929474,0.8155158162117004,02/12/2015,72565
136,student protesters self absorbed and narcissistic oklahoma college president says,0.03304428234696388,0.5788434147834778,0.3881123661994934,02/12/2015,72564
137,review in robin coste lewiss voyage of the sable venus poems on race,0.06145528331398964,0.04126449674367905,0.897280216217041,02/12/2015,72538
138,hillary clinton calls for overhaul of justice system,0.1631224900484085,0.08393910527229309,0.7529383897781372,02/12/2015,72540
139,shigeru mizuki influential japanese cartoonist dies at 93,0.03971564397215843,0.33613067865371704,0.6241536736488342,02/12/2015,72541
140,review commedia rapunzel with a bit of seasonal spice,0.05379455164074898,0.03316717967391014,0.9130383133888245,02/12/2015,72543
141,review lena hall barrels through her musical career at feinsteins,0.17531634867191315,0.0270860455930233,0.7975975871086121,02/12/2015,72546
142,the questionable ways of albany exposed at sheldon silvers trial,0.038731444627046585,0.2602129280567169,0.7010557055473328,02/12/2015,72547
143,the toll of violent anti abortion speech,0.04376337304711342,0.7412846088409424,0.2149520218372345,02/12/2015,72549
144,review hitchcock truffaut revisits the master of suspense,0.08180394023656845,0.06816692650318146,0.8500291705131531,02/12/2015,72550
145,ex citigroup construction executive admits taking 500000 in bribes,0.09161796420812607,0.05033766105771065,0.8580443263053894,02/12/2015,72552
146,review sound of redemption traces frank morgans route from jazz musician to prisoner and back,0.07151121646165848,0.023059414699673653,0.9054293036460876,02/12/2015,72553
147,recent commercial real estate transactions,0.028568433597683907,0.030367335304617882,0.9410642385482788,02/12/2015,72555
148,power outage forces crimeans to reconsider their enthusiasm for secession,0.05759560316801071,0.830292284488678,0.11211215704679489,02/12/2015,72558
149,protection bureaus stormy path to reform the auto finance industry,0.187558114528656,0.011521409265697002,0.8009204864501953,02/12/2015,72559
150,cleveland officer says he shot tamir rice after fake gun was pulled,0.047623950988054276,0.5721750855445862,0.3802010118961334,02/12/2015,72560
151,the hard working italian origins of the rockefeller center christmas tree,0.08470314741134644,0.034608032554388046,0.8806887865066528,02/12/2015,72561
152,a young islander gears up for the rangers,0.10535174608230591,0.02255561761558056,0.8720926642417908,02/12/2015,72562
153,economic report adds to brazils mounting woes,0.035088278353214264,0.9473825097084045,0.01752919703722,02/12/2015,72563
154,kean university graduate accused in threats against blacks,0.09020275622606277,0.701798677444458,0.20799855887889862,02/12/2015,72587
155,yahoos board is said to weigh selling off core business,0.01735621690750122,0.8939849734306335,0.08865879476070404,02/12/2015,72589
156,california state falls short of water goal,0.01161139365285635,0.9478226900100708,0.04056593030691147,02/12/2015,72576
157,word of the day quiz percussion,0.043191734701395035,0.03104071505367756,0.9257676005363464,02/12/2015,72590
158,the gops worst budget riders,0.02916119247674942,0.8707354664802551,0.10010337829589844,02/12/2015,72603
159,anyone but ted cruz,0.0388488732278347,0.03950706496834755,0.9216440916061401,02/12/2015,72604
160,an opening in the war against aids,0.19344326853752136,0.0453367605805397,0.7612199187278748,02/12/2015,72602
161,pfizer allergan a drug merger with tax benefits,0.13154618442058563,0.025109589099884033,0.8433442115783691,02/12/2015,72601
162,donald trumps appeal,0.039417434483766556,0.03257638216018677,0.9280061721801758,02/12/2015,72605
163,the real problem with police video,0.038432683795690536,0.4689919054508209,0.49257537722587585,02/12/2015,72606
164,domestic abuse policy,0.023316513746976852,0.5184178352355957,0.4582656919956207,02/12/2015,72600
165,02friedman,0.05227987468242645,0.042563553899526596,0.9051565527915955,02/12/2015,72599
166,sheldon silvers conviction on corruption charges,0.08132445812225342,0.7170113325119019,0.20166423916816711,02/12/2015,72598
167,affordable reliable coal,0.2150365263223648,0.01238081231713295,0.7725826501846313,02/12/2015,72597
168,romanias dancing drinking bears,0.05193242430686951,0.08747139573097229,0.8605961799621582,02/12/2015,72596
169,news qs even ballet dancers are in awe of stephen currys moves,0.1641712188720703,0.01405344344675541,0.8217753767967224,02/12/2015,72608
170,how real are you on social media,0.03222993016242981,0.03908016160130501,0.9286898970603943,02/12/2015,72614
171,cookbook review baking books 2015,0.03676692396402359,0.043137870728969574,0.9200951457023621,02/12/2015,71828
172,baking books 2015,0.0298685934394598,0.041359793394804,0.9287716746330261,02/12/2015,71825
173,are genetically engineered salmon too fishy,0.035496000200510025,0.16823914647102356,0.7962648272514343,02/12/2015,72607
174,corrections december 2 2015,0.025596048682928085,0.057821452617645264,0.9165825247764587,02/12/2015,72595
175,hotel and tour news reindeer in new york art in france,0.029277656227350235,0.051741328090429306,0.9189810752868652,02/12/2015,72630
176,what to watch wednesday,0.02315147966146469,0.06878796964883804,0.9080605506896973,02/12/2015,72594
177,morning agenda yahoo said to weigh selling core business,0.09189660847187042,0.032479096204042435,0.8756242990493774,02/12/2015,72627
178,singapore arrests dan tan seet eng match fixing,0.022212008014321327,0.7853996157646179,0.1923883557319641,02/12/2015,72593
179,quotation of the day,0.03285898268222809,0.06459265947341919,0.9025484323501587,02/12/2015,72592
180,hungry city amaranto bushwick brooklyn,0.03766348958015442,0.06221913546323776,0.9001173973083496,02/12/2015,71788
181,lessons from a decade of ranking the worlds most innovative companies,0.5965059995651245,0.014462783932685852,0.38903117179870605,02/12/2015,72591
182,the 36 questions on the way to love,0.048116862773895264,0.03348661586642265,0.918396532535553,13/02/2015,9734
183,a military manual for nonviolent war,0.06517040729522705,0.02956947311758995,0.9052600860595703,13/02/2015,9649
184,when the first bagger david carr hit the red carpet,0.09184959530830383,0.042335525155067444,0.8658148050308228,13/02/2015,9710
185,tributes from all over for the incomparable david carr,0.18071115016937256,0.0176598709076643,0.8016290068626404,13/02/2015,9745
186,friday file,0.030692506581544876,0.09783373028039932,0.8714737892150879,13/02/2015,9711
187,david brooks larry vs marc,0.04792673885822296,0.1731540560722351,0.7789192199707031,13/02/2015,9647
188,20150213_healthquiz,0.043343137949705124,0.046800389885902405,0.9098564386367798,13/02/2015,9741
189,irish animators in a strange land los angeles,0.04320502281188965,0.12453029304742813,0.8322646617889404,13/02/2015,9740
190,online dating rules for my grandmother must drive preferably at night,0.022789057344198227,0.04012046754360199,0.9370904564857483,13/02/2015,9721
191,georgie newbery flower farmers year,0.08521201461553574,0.03196783736348152,0.8828201293945312,13/02/2015,9712
192,20 20 foresight,0.03479340672492981,0.05500999465584755,0.9101965427398682,13/02/2015,9720
193,david carr the traveler,0.11799013614654541,0.03694281354546547,0.8450670838356018,13/02/2015,9733
194,video reviews of fifty shades of grey gett and the last five years,0.03938568755984306,0.060795385390520096,0.8998189568519592,13/02/2015,9723
195,selling america in jakarta,0.08250230550765991,0.042875755578279495,0.8746219873428345,13/02/2015,9725
196,jersey guy attitude sinks christies ratings in new jersey,0.06463928520679474,0.026584088802337646,0.9087766408920288,13/02/2015,9731
197,1890 taxi tariff approved in paris,0.1661153882741928,0.015116696245968342,0.8187679052352905,13/02/2015,9709
198,wes gordon fall 2015 rtw,0.03395675867795944,0.06725304573774338,0.8987901210784912,13/02/2015,9732
199,the elm paul liebrandts brooklyn restaurant is closing,0.0333215594291687,0.049160394817590714,0.9175180792808533,13/02/2015,9736
200,paul krugman money makes crazy,0.058912619948387146,0.04649752750992775,0.8945897817611694,13/02/2015,9646
201,whats on this week around the world 10,0.039492759853601456,0.05840228870511055,0.902104914188385,13/02/2015,9707
202,chinas internet restrictions are hampering business foreign companies say,0.008140086196362972,0.9546030759811401,0.03725690767168999,13/02/2015,9699
203,test yourself a candlelit dinner for two at white castle,0.08050967007875443,0.027671460062265396,0.8918188810348511,13/02/2015,9651
204,celebrating theater in london and new york,0.06013498082756996,0.02312028408050537,0.9167447686195374,13/02/2015,9673
205,fifty shades of criticism,0.05373992398381233,0.11863790452480316,0.8276221752166748,13/02/2015,9674
206,daily report obama heads to security talks amid tensions,0.14638400077819824,0.17108672857284546,0.6825293302536011,13/02/2015,9666
207,today in politics 96,0.062010426074266434,0.024522962048649788,0.9134666323661804,13/02/2015,9675
208,morning agenda standoff over greek debt,0.015712983906269073,0.9239072203636169,0.06037980318069458,13/02/2015,9676
209,love in the times of twitter,0.08154309540987015,0.03420785814523697,0.8842490315437317,13/02/2015,9680
210,taking her class around the world,0.05910511687397957,0.04233863204717636,0.8985561728477478,13/02/2015,9681
211,daily clip report 123,0.025897551327943802,0.05944351479411125,0.9146589636802673,13/02/2015,9684
212,goodbye jon stewart and hello to a host of possibilities,0.06540919840335846,0.02703547477722168,0.9075552821159363,13/02/2015,9645
213,latest news cybersecurity david carr fifty shades,0.05533755570650101,0.04657265916466713,0.8980898261070251,13/02/2015,9663
214,new york today mothers helpers,0.06879004836082458,0.09782208502292633,0.8333878517150879,13/02/2015,9662
215,comedy listings for feb 13 19,0.01895291544497013,0.09246531873941422,0.8885817527770996,13/02/2015,9687
216,ask well put on the snowshoes,0.0854557678103447,0.03402717784047127,0.8805170655250549,13/02/2015,9661
217,what to expect on the second day of new york fashion week,0.02607916295528412,0.056736793369054794,0.9171841144561768,13/02/2015,9660
218,movie listings for feb 13 19,0.017582416534423828,0.08598685264587402,0.8964307308197021,13/02/2015,9688
219,pop rock cabaret listings for feb 13 19,0.02209857478737831,0.07186815142631531,0.9060332775115967,13/02/2015,9689
220,jazz listings for feb 13 19,0.022104276344180107,0.052837517112493515,0.9250581860542297,13/02/2015,9690
221,opera classical music listings for feb 13 19,0.02080177515745163,0.04495682567358017,0.9342414140701294,13/02/2015,9691
222,what role has community college played in your life or the life of someone you know,0.028851773589849472,0.05241682752966881,0.9187314510345459,13/02/2015,9656
223,dance listings for feb 13 19,0.01757904887199402,0.06815469264984131,0.9142662882804871,13/02/2015,9692
224,chinese president returns to maos and his roots in yanan,0.09063439071178436,0.024954942986369133,0.8844106793403625,13/02/2015,9653
225,museum gallery listings for feb 13 19,0.016653399914503098,0.08562925457954407,0.897717297077179,13/02/2015,9694
226,the myth of black swan market events,0.039330411702394485,0.0635693371295929,0.8971002697944641,13/02/2015,9695
227,spare times for children for feb 13 19,0.03130240738391876,0.05504355579614639,0.9136539697647095,13/02/2015,9696
228,spare times listings for feb 13 19,0.020261455327272415,0.07399752736091614,0.9057409763336182,13/02/2015,9697
229,china military soldiers weight,0.036958083510398865,0.16132211685180664,0.8017198443412781,13/02/2015,9667
230,reader idea he said she said i say a researched argument essay,0.07378654181957245,0.03456835821270943,0.8916451334953308,13/02/2015,9702
231,tune in slim 50 ways to be entertained by love,0.05565257743000984,0.02776423469185829,0.9165831804275513,13/02/2015,9704
232,6 qs about the news in chapel hill shooting of 3 muslims a question of motive,0.0393330380320549,0.06603746861219406,0.8946294784545898,13/02/2015,9652
233,model morph zlata mangafic creatures of the wind fall winter 2015,0.03492482006549835,0.04452627897262573,0.9205489158630371,13/02/2015,9706
234,15books_pod,0.05762529373168945,0.07240019738674164,0.8699744939804077,13/02/2015,9747
235,exploring scotland by small boat,0.05820870399475098,0.020038580521941185,0.9217527508735657,13/02/2015,9858
236,15books_pod blog,0.037082478404045105,0.04924114793539047,0.913676381111145,13/02/2015,9750
237,s e c asks alibaba about dispute with chinese regulator,0.07981779426336288,0.2656399607658386,0.6545422077178955,13/02/2015,9848
238,backstage beauty report jason wu new york fashion week,0.030794227495789528,0.0913834273815155,0.8778223395347595,13/02/2015,9852
239,friday night music san fermin jackrabbit,0.033665113151073456,0.05352913215756416,0.9128057360649109,13/02/2015,9853
240,who is kate brown oregons next governor,0.029117828235030174,0.032355934381484985,0.9385262727737427,13/02/2015,9855
241,bushs pac spreads money around to other republicans,0.06732145696878433,0.017039494588971138,0.9156390428543091,13/02/2015,9857
242,second stage fights for broadways helen hayes theater,0.044228989630937576,0.04523240402340889,0.9105385541915894,13/02/2015,9860
243,new york fashion week orley fall winter 2015,0.023701243102550507,0.05498773977160454,0.9213110208511353,13/02/2015,9864
244,13scene orley,0.04956233873963356,0.026552485302090645,0.9238852262496948,13/02/2015,9865
245,what were reading now 25,0.03090699203312397,0.062308941036462784,0.9067841172218323,13/02/2015,9866
246,everyone in the private sector wants to talk about hacking,0.03509989008307457,0.028158217668533325,0.9367418885231018,13/02/2015,9867
247,jason wu fall 2015 ankle boots,0.035533707588911057,0.13226400315761566,0.8322022557258606,13/02/2015,9868
248,13NYTNOW EVENINGSS,0.03317162021994591,0.09115418046712875,0.8756741285324097,13/02/2015,9869
249,20150213POD,0.03047877363860607,0.045242663472890854,0.9242785573005676,13/02/2015,9870
250,carpetbagger video voicing dragons and other dreamworks stars,0.04196753352880478,0.04644576087594032,0.9115867614746094,13/02/2015,9840
251,feb 13 2015 pictures of the day,0.04095514863729477,0.04189072176814079,0.9171541333198547,13/02/2015,9871
252,20150213OFFTHERUNWAY,0.05836006999015808,0.04526346176862717,0.8963764309883118,13/02/2015,9887
253,MASONOBIT,0.02583310380578041,0.038567136973142624,0.9355997443199158,13/02/2015,13250
254,inside ts spring womens fashion issue,0.02780964970588684,0.03970281779766083,0.9324874877929688,13/02/2015,9889
255,argentine debt dispute remains murky even as london court sheds some light,0.0415789820253849,0.8648960590362549,0.09352494031190872,13/02/2015,9891
256,20150213 lens russia,0.030855504795908928,0.03450963646173477,0.9346348643302917,13/02/2015,9895
